bedrooms,bathrooms,toilets,parking_space,title,town,state,price,listing_type
4,5,5,4,Detached Duplex,Lekki,Lagos,120000000,rent
4,4,5,6,Detached Duplex,Ajah,Lagos,40000000,rent
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,75000000,rent
4,5,5,4,Detached Duplex,Lekki,Lagos,65000000,rent
4,4,5,5,Detached Duplex,Ajah,Lagos,60000000,rent
3,4,5,4,Terraced Duplexes,Lokogoma District,Abuja,25000000,rent
4,5,6,3,Semi Detached Duplex,Lekki,Lagos,65000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,70000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,48000000,rent
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,37000000,rent
4,5,5,4,Detached Duplex,Victoria Island (Vi),Lagos,170000000,sale
5,5,6,5,Detached Duplex,Lekki,Lagos,85000000,rent
3,3,4,4,Terraced Duplexes,Lekki,Lagos,34000000,rent
4,5,5,2,Terraced Duplexes,Victoria Island (Vi),Lagos,130000000,rent
5,6,7,6,Detached Duplex,Katampe,Abuja,160000000,sale
4,4,5,3,Detached Duplex,Ajah,Lagos,60000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,270000000,sale
5,6,5,4,Detached Duplex,Lekki,Lagos,250000000,sale
4,4,5,5,Detached Duplex,Lekki,Lagos,180000000,sale
4,4,5,4,Detached Duplex,Magodo,Lagos,140000000,rent
5,5,6,6,Detached Duplex,Kaura,Abuja,150000000,sale
4,4,5,8,Detached Duplex,Galadimawa,Abuja,70000000,rent
3,5,5,4,Terraced Duplexes,Ajah,Lagos,40000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,120000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,55000000,rent
6,6,7,8,Detached Duplex,Gwarinpa,Abuja,130000000,rent
4,5,5,4,Semi Detached Duplex,Gwarinpa,Abuja,75000000,rent
5,6,6,4,Detached Duplex,Lekki,Lagos,270000000,sale
5,5,5,4,Detached Bungalow,Katampe,Abuja,130000000,rent
3,3,4,4,Block of Flats,Lekki,Lagos,25500000,rent
5,5,6,4,Detached Duplex,Magodo,Lagos,235000000,sale
3,3,4,3,Terraced Duplexes,Lekki,Lagos,65000000,rent
4,4,4,3,Terraced Duplexes,Lekki,Lagos,55000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,120000000,rent
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,69000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,105000000,rent
4,4,5,3,Semi Detached Duplex,Ajah,Lagos,60000000,rent
4,4,5,1,Semi Detached Duplex,Galadimawa,Abuja,50000000,rent
4,5,5,4,Semi Detached Duplex,Ajah,Lagos,60000000,rent
5,6,7,4,Detached Duplex,Lekki,Lagos,150000000,sale
3,4,4,6,Detached Duplex,Lugbe District,Abuja,30000000,rent
5,5,6,4,Detached Duplex,Ajah,Lagos,75000000,rent
5,5,6,2,Detached Duplex,Lekki,Lagos,110000000,rent
4,4,5,3,Semi Detached Duplex,Ajah,Lagos,45000000,rent
4,4,4,5,Detached Duplex,Ajah,Lagos,50000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,135000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,150000000,sale
4,5,6,4,Terraced Duplexes,Katampe,Abuja,131000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,85000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,155000000,sale
3,3,4,4,Detached Bungalow,Ifako-Ijaiye,Lagos,12500000,rent
4,4,5,4,Detached Duplex,Agege,Lagos,60000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,105000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,100000000,rent
5,5,6,2,Terraced Duplexes,Kaura,Abuja,70000000,rent
4,5,5,4,Terraced Duplexes,Jahi,Abuja,75000000,rent
4,5,5,4,Detached Duplex,Lekki,Lagos,70000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,145000000,rent
4,5,5,4,Detached Duplex,Orozo,Abuja,52500000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,61000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,110000000,rent
5,6,6,4,Detached Duplex,Lekki,Lagos,260000000,sale
4,4,5,4,Terraced Duplexes,Ajah,Lagos,29800000,rent
4,5,6,4,Terraced Duplexes,Lekki,Lagos,145000000,rent
4,4,5,5,Semi Detached Duplex,Lekki,Lagos,150000000,sale
4,4,5,3,Detached Duplex,Lekki,Lagos,80000000,rent
4,4,5,4,Detached Duplex,Ajah,Lagos,45000000,rent
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,75000000,rent
4,4,5,3,Detached Duplex,Ikeja,Lagos,60000000,rent
3,3,4,4,Block of Flats,Idu Industrial,Abuja,135000000,rent
